,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
30,41.0,38.0,3574.9272514338195,1258.59941376528,3586.074166434843,1267.9103918328026,1.0,1.0,686.2626358790802,430.44241132411776,27.817692863334376,6.95351966970091
31,42.0,39.0,3574.0199653648483,1259.776375779158,3585.0082953699025,1269.137254057229,1.0,1.0,686.073541653747,430.8519517499029,27.820564007412962,6.962342129066652
32,43.0,40.0,3571.6450725428954,1260.5135380499848,3582.7242710129462,1270.0692363339388,1.0,1.0,685.6270620907682,431.13632452466845,27.810382904782706,6.967728374485183
33,44.0,41.0,3568.5144020349526,1261.3999265925434,3579.5291426663325,1271.0774979328835,1.0,1.0,685.0208397005399,431.4591167709986,27.732793918519178,6.969097277884287
34,45.0,42.0,3563.842954179724,1262.0945273423354,3574.9019276740046,1271.936053824465,1.0,1.0,684.1297178443157,431.7237286432327,27.685068244702148,6.963884632161731
35,46.0,43.0,3558.3747871979085,1262.8696867798765,3569.2841217873065,1272.719905758169,1.0,1.0,683.0673121110832,431.9893379879633,27.545517556419874,6.774393879619106
36,47.0,44.0,3562.112155184595,1264.3470443402211,3573.0337825451475,1274.1513814707969,1.0,1.0,683.7848190324337,432.4849169900253,27.54615396055836,6.784011232320253
37,48.0,45.0,3565.834695485976,1265.3877905569873,3576.8823693418844,1275.412067101949,1.0,1.0,684.5103853793366,432.8770127863373,27.59021373340757,6.78884086251859
38,49.0,46.0,3567.624522050616,1266.6756361610144,3578.924768827376,1276.519662818226,1.0,1.0,684.8776403758077,433.28512501127796,27.607161839040174,6.797242973247275
39,50.0,47.0,3568.465863615779,1267.6780248542009,3579.822638277299,1277.508866256298,1.0,1.0,685.0443147647534,433.6244333003072,27.61173543326003,6.805469267361897
40,51.0,48.0,3568.2958875992176,1268.899338521506,3579.6357878870235,1278.6663152647486,1.0,1.0,685.0101189007648,434.0297039783989,27.649010901798285,6.8014996722303245
41,52.0,49.0,3566.5899366679014,1269.8628181827637,3577.900959005943,1279.4343126712172,1.0,1.0,684.6803775020768,434.32469636771526,27.60301299006611,6.812766816000207
42,53.0,50.0,3564.010010172972,1270.8841013648198,3575.185043392182,1280.363531025012,1.0,1.0,684.172859299994,434.65700403678613,27.59165758848926,6.824401312740565
43,54.0,51.0,3559.813986931465,1271.7961577453973,3570.8280795588157,1281.2822805099347,1.0,1.0,683.353198038652,434.9689191101677,27.658507182714743,7.034132886545679
44,55.0,52.0,3561.853162465662,1272.7216358501394,3573.106791306684,1282.6530875870324,1.0,1.0,683.7669955698499,435.3601380670737,27.688033489425095,7.040429880677242
45,56.0,53.0,3563.418359390144,1273.6607295320923,3574.6092399436343,1283.6542471574594,1.0,1.0,684.0609782694871,435.690699732294,27.622900423666284,6.849905324949803
46,58.0,54.0,3564.175163406016,1274.7985221519791,3575.3302433852195,1284.8453935832306,1.0,1.0,684.20260148416,436.08748194007273,27.55245217721524,6.848653019657606
